2026-09-10T20:51:25Z PREFLIGHT runner probe (not agent traffic)
2026-09-10T20:52:36.239Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.248Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.251Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.264Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.283Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.296Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.316Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.341Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.341Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.352Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.367Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.373Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.373Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.375Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.419Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:36.435Z DENY CONNECT files.pythonhosted.org:443 host=files.pythonhosted.org:443
2026-09-10T20:52:50.688Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T20:53:05.688Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T20:53:06.485Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T20:53:17.631Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T20:53:17.631Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
